username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,Search_Term
,4/25/2013 13:27,0,1,I lol every time I drive down zimmer and see the big ass cracks my grandpa ground into the road with farm equipment on accident.,,,,3.27E+17,https://twitter.com/i_love_HoneyZz/status/327489097008545792,Farm Equipment Accident
,4/23/2013 17:04,0,0,I can't be the only one eagerly awaiting Favre getting into a farm equipment accident,,,,3.27E+17,https://twitter.com/slipknottin/status/326818795199025153,Farm Equipment Accident
,4/17/2013 20:17,0,1,It's not a car chase without slow moving farm equipment and a mass-bicycle accident #Goldeneye,,,#Goldeneye,3.25E+17,https://twitter.com/Mr_Fantastic86/status/324693092131295232,Farm Equipment Accident
,3/19/2013 21:25,0,0,Kingman man killed in farm equipment accident: KINGMAN - A 51-year-old Kingman man was killed Tuesday... http://q.gs/3iMgf  #wichita,,,#wichita,3.14E+17,https://twitter.com/NewsWichitaKA/status/314201111877791744,Farm Equipment Accident
,3/19/2013 20:40,0,0,Kingman man killed in farm equipment accident http://tinyurl.com/czrt4zr ,,,,3.14E+17,https://twitter.com/HutchNews/status/314189633699340288,Farm Equipment Accident
,3/17/2013 12:52,0,0,Toddler Killed In Farm Accident - KNUJ - New Ulm: Authorities say that an apparent farm equipment accident cau... http://bit.ly/1161744 ,,,,3.13E+17,https://twitter.com/AgSafetyHealth/status/313347088463310848,Farm Equipment Accident
,3/17/2013 10:00,1,0,Riker is happily watching a documentary on farm equipment. Think maybe I have a Bohlender kid by accident? Documentaries? @JacksonB,,@JacksonB,,3.13E+17,https://twitter.com/Jennerith/status/313303735633846273,Farm Equipment Accident
,3/15/2013 17:19,0,0,2-year-old dies after farm accident: A 2-year-old boy has died after an apparent farm equipment accident. http://bit.ly/157tBHD ,,,,3.13E+17,https://twitter.com/austinherald/status/312689652698054656,Farm Equipment Accident
,3/15/2013 15:57,1,0,Young boy dies after farm accident in Hartland: A 2-year-old boy has died after an apparent farm equipment acc... http://bit.ly/10YvklN ,,,,3.13E+17,https://twitter.com/altribune/status/312668957339439104,Farm Equipment Accident
,2/23/2013 18:44,0,0,@farmersway Maybe they could accidentally have an accident with some form of farm equipment… accidentally.,,@farmersway,,3.05E+17,https://twitter.com/andanin/status/305478281564672001,Farm Equipment Accident
,1/13/2013 19:36,0,1,Killer ad lib,,,,,,Farm Equipment Accident
,1/8/2013 12:46,0,0,Jackson,,,,,,Farm Equipment Accident
,1/8/2013 11:18,0,0,Farm equipment accident hospitalizes Jones County woman: A Jones County woman is in stable condition in a Hattie... http://bit.ly/Zm9OBj ,,,,2.89E+17,https://twitter.com/tractorrestore/status/288696136452161536,Farm Equipment Accident
,1/8/2013 10:59,0,0,Jones County woman airlifted after farm equipment accident http://dlvr.it/2mDJ4P ,,,,2.89E+17,https://twitter.com/hburgamerican/status/288691291565486080,Farm Equipment Accident
,12/13/2012 23:10,0,1,@Arbitral thank you and in turn I hope you never die ambiguously by either hate crime or farm equipment accident,,@Arbitral,,2.79E+17,https://twitter.com/BreakingBadussy/status/279453190255149056,Farm Equipment Accident
,11/18/2012 14:33,0,0,Not happy I'm taking my bf to the ER bc of an accident with some farm equipment. You'd think a professional athlete would be more careful!!,,,,2.70E+17,https://twitter.com/sheridanhug/status/270263389811531777,Farm Equipment Accident
